Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,has_lyrics
4MXzdffMz78GLlLM7mDa9v,The Man He Sees in Me,Fathers & Sons,Luke Combs,2024-06-14,165058,62,22o5lnwyfofbaefafhryhcdbi,2024-07-03T00:56:43Z,country,Seven Ridges Records/Columbia Nashville,0.584,0.427,1,-8.685,1,0.0314,0.502,4.61e-06,0.114,0.535,82.03,4,True
1YvT4ml5LQM8ZYcLvqsAkD,Remember Him That Way,Fathers & Sons,Luke Combs,2024-06-14,236055,62,22o5lnwyfofbaefafhryhcdbi,2024-07-03T01:03:02Z,country,Seven Ridges Records/Columbia Nashville,0.532,0.689,11,-8.12,1,0.035,0.405,4.39e-05,0.21,0.525,171.904,4,True
6rVuwfysYo1Bp4Hoc4YuE0,Bulletproof,Through the Smoke,Nate Smith,2024-04-05,183919,60,22o5lnwyfofbaefafhryhcdbi,2024-07-03T02:06:05Z,country,RCA Records Label Nashville,0.444,0.727,7,-5.177,1,0.0394,0.0361,0.0,0.114,0.519,79.912,4,True
1vBpwxsLVwaR4evBIaFmqD,Drinkin' Problem,On The Rocks,Midland,2017-09-22,220800,69,22o5lnwyfofbaefafhryhcdbi,2024-07-03T02:06:17Z,"country,honky tonk","Big Machine Records, LLC",0.622,0.763,9,-6.4,1,0.0263,0.055,8.91e-06,0.313,0.621,102.0,4,True
7Fzl7QaTu47WyP9R5S5mh5,Lies Lies Lies,Lies Lies Lies,Morgan Wallen,2024-07-05,198068,77,22o5lnwyfofbaefafhryhcdbi,2024-07-23T01:43:47Z,country,Big Loud Records / Mercury Records / Republic Records,0.486,0.702,1,-5.758,0,0.0298,0.239,7.54e-05,0.0912,0.382,81.053,4,True
3AdV1d3U70EWsqE6NDJ0yv,Forever,Harold Saul High,Koe Wetzel,2019-06-21,177866,56,22o5lnwyfofbaefafhryhcdbi,2024-07-23T03:00:10Z,"red dirt,texas country,country,country rock",Columbia/Legacy,0.565,0.63,0,-6.703,1,0.0356,0.0149,0.0,0.116,0.22,129.927,4,True
5JlH51YDYsGj2dyEJKKjcN,Alright,Learn To Live,Darius Rucker,2008-01-01,231920,63,22o5lnwyfofbaefafhryhcdbi,2024-07-23T05:37:25Z,country,Capitol Nashville,0.601,0.806,7,-4.579,1,0.0345,0.0527,0.0,0.185,0.711,89.87,4,True
5KtUilYzUZOvhyrLTlLoXT,Back Then Right Now,Strong,Tyler Hubbard,2024-04-12,201485,51,22o5lnwyfofbaefafhryhcdbi,2024-07-25T05:48:04Z,country,EMI Nashville,0.659,0.865,7,-4.416,1,0.0541,0.0164,0.0,0.134,0.761,126.998,4,True
3oW6SWwGqiZSPTiAp7ZQoH,It's A Great Day To Be Alive,Down The Road I Go,Travis Tritt,2000-10-01,241533,67,22o5lnwyfofbaefafhryhcdbi,2024-07-25T06:11:47Z,country,Columbia Nashville,0.595,0.653,7,-4.935,1,0.0265,0.246,0.0,0.264,0.542,128.93,4,True
5NU6kBZORKaoqS09mOqgXs,23,Bad For Me,Chayce Beckham,2024-04-05,228144,68,22o5lnwyfofbaefafhryhcdbi,2024-07-25T06:22:21Z,country,Wheelhouse Records,0.628,0.584,0,-7.361,0,0.0327,0.278,0.0,0.142,0.38,87.972,4,True
